anonymous,author_shopid,author_username,cat_id,cmtid,comment,count_rating_with_image,count_with_context,ctime,editable,item_id,mtime,orderid,product_title,rating,rating_count0,rating_count1,rating_count2,rating_count3,rating_count4,rating_count5,rating_star,shop_id,userid
False,41836023.0,uliadewita,3404.0,2461617253.0,"Langganan kak
Recommended seller..
Kalau ada masalah netflixnya tolong bantu ya kak
🙏",842.0,1156.0,1590749935.0,1.0,4424230615.0,1590749935.0,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1.0,4661.0,7.0,0.0,2.0,6.0,7804.0,5.0,43809563.0,41837410.0
,,,,,,,,,,,,,,,,,,,,,,,
True,97024245.0,a*****s,3404.0,2440122711.0,"selama belanja disini pelayanan cepat, adminnya jg gercep balesinnya, cuma lamanya ketika benerin akun incorrect password sm inactive aja sih tp wajar aja abisnya pesanan toko ini jg banyak kan, tp pasti dibenerin lg kok asal sabar.",842.0,1156.0,1590251092.0,2.0,4424230615.0,1590299431.0,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1.0,4661.0,7.0,0.0,2.0,6.0,7804.0,5.0,43809563.0,97025723.0
,,,,,,,,,,,,,,,,,,,,,,,
False,13809741.0,melz_belle,3404.0,2331799256.0,Bisa langsung di gunakan. Respon seller Ok.. Semoga kedepannya tdk ada kendala. ,842.0,1156.0,1588521425.0,1.0,4424230615.0,1588521425.0,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1.0,4661.0,7.0,0.0,2.0,6.0,7804.0,5.0,43809563.0,13811045.0
,,,,,,,,,,,,,,,,,,,,,,,
True,40761953.0,n*****u,3404.0,2438601065.0,"Makasih kak, prosesnya cepet. Saya bakal order lagi nanti. Pelapak ramah. 👏👍",842.0,1156.0,1590223589.0,2.0,4424230615.0,1590364604.0,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1.0,4661.0,7.0,0.0,2.0,6.0,7804.0,5.0,43809563.0,40763339.0
,,,,,,,,,,,,,,,,,,,,,,,
True,48257607.0,v*****a,2902.0,2359876149.0,bagus mantap keren wow gila banget amazing baik trusted cepat 100 persen bagus mantap keren wow gila banget amazing good trusted cepat 100 persen bagus mantap keren wow gila banget amazing baik trusted cepat 100 persen bagus mantap keren wow gila banget amazing baik trusted cepat 100 persen bagus ok,922.0,2182.0,1588995546.0,1.0,2767211185.0,1588995546.0,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1.0,7274.0,89.0,15.0,44.0,88.0,9088.0,5.0,15168157.0,48258995.0
,,,,,,,,,,,,,,,,,,,,,,,
False,32106694.0,antonbreba,2902.0,2440399498.0,"Pesanan telah diterima dgn cepat, baik dan benar, nordvpn sdh lgs dicoba, berhasil dan berfungsi dgn sukses, semoga lancar dan benar sampai lifetime masa berlaku serta garansinya. Harga hemat bersahabat.Terima kasih",922.0,2182.0,1590269526.0,1.0,2767211185.0,1590269526.0,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1.0,7274.0,89.0,15.0,44.0,88.0,9088.0,5.0,15168157.0,32108078.0
,,,,,,,,,,,,,,,,,,,,,,,
False,50723378.0,sefiraamadea,2902.0,2446680523.0,"mantap gaaan
penjualnya fast respond
dikasih email, langsung dicoba dan bisa langsung dipakai juga
overall good dah 👍👍👍👍👍",922.0,2182.0,1590464135.0,1.0,2767211185.0,1590464135.0,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1.0,7274.0,89.0,15.0,44.0,88.0,9088.0,5.0,15168157.0,50724766.0
,,,,,,,,,,,,,,,,,,,,,,,
False,9593687.0,hasbiekurniawan,3404.0,2347184222.0,"sejauh ini lancar, tanpa gangguan. mudah2an tidak ada masalah, terima kasih",842.0,1156.0,1588805535.0,1.0,4424230615.0,1588805535.0,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1.0,4661.0,7.0,0.0,2.0,6.0,7804.0,5.0,43809563.0,9594984.0
,,,,,,,,,,,,,,,,,,,,,,,
False,25048304.0,ivonnekristina,3404.0,2425853241.0,Pelayanan dan respon cepet banget..netflix lancar ga ada masalah...thanksss,842.0,1156.0,1590015668.0,1.0,4424230615.0,1590015668.0,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1.0,4661.0,7.0,0.0,2.0,6.0,7804.0,5.0,43809563.0,25049640.0
,,,,,,,,,,,,,,,,,,,,,,,
True,6893954.0,a*****a,3404.0,2353400963.0,"Respon seller sangat ramah & cepat. Bisa langsung dipake tanpa ad kendala, smoga lancarr trss sampai masa aktifnya selesai. Terimakasihh",842.0,1156.0,1588903099.0,1.0,4424230615.0,1588903099.0,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1.0,4661.0,7.0,0.0,2.0,6.0,7804.0,5.0,43809563.0,6895269.0
,,,,,,,,,,,,,,,,,,,,,,,
True,26850649.0,r*****1,3404.0,2338199738.0,Oke bgt pokoknya keren pengiriman cepat dan harganya cocok untuk reseller,842.0,1156.0,1588655298.0,1.0,4424230615.0,1588655298.0,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1.0,4661.0,7.0,0.0,2.0,6.0,7804.0,5.0,43809563.0,26851985.0
,,,,,,,,,,,,,,,,,,,,,,,
True,26850649.0,r*****1,3404.0,2338195345.0,Oke bgt pokoknya keren pengiriman cepat dan harganya cocok untuk reseller,842.0,1156.0,1588655246.0,1.0,4424230615.0,1588655246.0,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1.0,4661.0,7.0,0.0,2.0,6.0,7804.0,5.0,43809563.0,26851985.0
,,,,,,,,,,,,,,,,,,,,,,,
False,58183934.0,b464s,2902.0,2403860758.0,"Mantap proses cepet, bisa dipake lancar di windows maupun android. Bisa buka situs2 terblokir dengan lancar dan ngebut 😉",922.0,2182.0,1589666148.0,1.0,2767211185.0,1589666148.0,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1.0,7274.0,89.0,15.0,44.0,88.0,9088.0,5.0,15168157.0,58185359.0
,,,,,,,,,,,,,,,,,,,,,,,
True,11511537.0,d*****i,2902.0,2457431237.0,"proses cepat, langsung coba, mantap. konek nya juga cepet ga sampe semenit, speed sesuai lah. moga bneran lifetime & seller bs lbh responsif ditanya2",922.0,2182.0,1590669854.0,1.0,2767211185.0,1590669854.0,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1.0,7274.0,89.0,15.0,44.0,88.0,9088.0,5.0,15168157.0,11512838.0
,,,,,,,,,,,,,,,,,,,,,,,
